Tourist Attractions
Monumen Nasional (Monas)
Taman Mini Indonesia Indah (TMII)
Ancol Taman Impian
Kota Tua Jakarta
Kebun Binatang Ragunan
Dunia Fantasi (Dufan)
Museum Nasional Indonesia
Taman Suropati
Taman Ismail Marzuki
Museum MACAN
Planetarium Jakarta
Pulau Seribu
Jakarta Aquarium
Taman Menteng
Setu Babakan
Hutan Kota Gelora Bung Karno
Museum Bank Indonesia
Pantai Indah Kapuk (PIK)
Taman Impian Jaya Ancol Beach City
Taman Wisata Alam Mangrove Angke Kapuk
